"","x"
"URB2",-1.42173327815734
"SENP1",-1.4361890780875
"ORC1",-2.57662163461963
"SSPO",2.52274677667004
"TUBG1",-0.850399242078273
"FNBP4",-0.939683257260173
"PPIL2",1.06277497291706
"TIMP2",2.8891944933376
"PCDHB2",1.615936996557
"ADPRM",-1.66759900082783
"NGFR",-4.38082340792877
"IRAK1",-0.727045618612755
"ZFAND5",0.669938654721394
"GK5",0.765351499512959
"ACAA2",1.02754610872804
"B3GALNT1",1.29701587382963
"ARHGAP26",-0.945365462834582
"CDKN2C",1.32617741470027
"FBF1",-1.16130293634929
"SART1",-1.22777379178027
"SORT1",0.916947178691622
"RPP38",-1.54406369066444
"ZNF48",-1.29421043380721
"HDHD2",0.711115482207466
"LRRC17",1.78695586381528
"DEPTOR",3.53884685044401
"NRBP2",1.84602502297012
"EXOC6B",0.796521513366109
"MRC2",0.93611732865467
"SUV39H1",-1.50538056539821
"CLMP",0.782439947231946
"NT5DC3",0.848957876471927
"GARS",-1.28024784890441
"S1PR3",-0.983750631461149
"TIFA",-2.45760160889759
"RTL8C",1.80855604631564
"UBL3",0.710203882909259
"ATP6V0A1",0.820483319500149
"ZNF579",-1.18551648220567
"SNW1",-0.920923431058012
"STX7",1.11715075638529
"SLC25A37",1.27319388469268
"HIST1H1B",-2.49164160468111
"ZNF3",-0.758143888352391
"REXO1",-1.91401083431938
"SAAL1",-1.25051664698607
"RRP1B",-0.705603204988121
"DMRTA1",1.39209314290532
"ENDOD1",2.03067060395938
"CSRP1",1.55980248247798
"CREB3",-0.969021690263549
"HNRNPL",-1.17746053998598
